intent,pattern,response_type,is_master,response
standar_teknis_aplikasi,apa itu standar teknis aplikasi?|bagaimana prosedur standar teknis aplikasi?|apa syarat untuk standar teknis aplikasi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi?|berapa lama proses standar teknis aplikasi?|apakah standar teknis aplikasi bisa diajukan online?|dimana layanan standar teknis aplikasi dilakukan?|berapa biaya untuk standar teknis aplikasi?|bagaimana alur lengkap standar teknis aplikasi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi?,static,true,"{""type"": ""text"", ""body"": ""silahkan pilih standar teknis aplikasi yang ingin diketahui informasinya:\n1. standar teknis aplikasi berbasis web;\n2. standar teknis aplikasi berbasis mobile; dan\n3. Pengembangan dan pembangunan aplikasi khusus \n4. ketentuan lain terkait standar teknis aplikasi.""}"
standar_teknis_aplikasi_berbasis_web,apa itu standar teknis aplikasi berbasis web?|bagaimana prosedur standar teknis aplikasi berbasis web?|apa syarat untuk standar teknis aplikasi berbasis web?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web?|berapa lama proses standar teknis aplikasi berbasis web?|apakah standar teknis aplikasi berbasis web bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web?|bagaimana alur lengkap standar teknis aplikasi berbasis web dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web?,static,true,"{""type"": ""text"", ""body"": ""silahkan pilih standar teknis aplikasi berbasis web yang ingin diketahui informasinya:\n1. autentikasi;\n2. manajemen sesi;\n3. persyaratan kontrol akses;\n4. validasi input;\n5. kriptografi pada verifikasi statis;\n6. penanganan error dan pencatatan log;\n7. proteksi data;\n8. keamanan komunikasi;\n9. pengendalian kode berbahaya;\n10. logika bisnis;\n11. file;\n12. keamanan API dan web service;\n13. keamanan konfigurasi; dan\n14. ketentuan lain terkait standar teknis aplikasi berbasis web.""}"
standar_teknis_aplikasi_berbasis_mobile,apa itu standar teknis aplikasi berbasis mobile?|bagaimana prosedur standar teknis aplikasi berbasis mobile?|apa syarat untuk standar teknis aplikasi berbasis mobile?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis mobile?|berapa lama proses standar teknis aplikasi berbasis mobile?|apakah standar teknis aplikasi berbasis mobile bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis mobile dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis mobile?|bagaimana alur lengkap standar teknis aplikasi berbasis mobile dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis mobile?,static,true,"{""type"": ""text"", ""body"": ""silahkan pilih standar teknis aplikasi berbasis mobile yang ingin diketahui informasinya:\n1. penyimpanan data dan persyaratan privasi;\n2. kriptografi;\n3. autentikasi dan manajemen sesi;\n4. komunikasi jaringan;\n5. interaksi platform;\n6. kualitas kode dan pengaturan build;\n7. ketahanan; dan\n8. ketentuan lain terkait standar teknis aplikasi berbasis mobile.""}"
standar_teknis_aplikasi_khusus,apa itu standar teknis aplikasi khusus?|bagaimana prosedur standar teknis aplikasi khusus?|apa syarat untuk standar teknis aplikasi khusus?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi khusus?|berapa lama proses standar teknis aplikasi khusus?|apakah standar teknis aplikasi khusus bisa diajukan online?|dimana layanan standar teknis aplikasi khusus dilakukan?|berapa biaya untuk standar teknis aplikasi khusus?|bagaimana alur lengkap standar teknis aplikasi khusus dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi khusus?,static,true,"{""type"": ""text"", ""body"": ""silahkan pilih standar teknis aplikasi khusus yang ingin diketahui informasinya:\n1. Perencanaan Sistem Baru;\n2. Perencanaan Pengembangan Sistem;\n3. Perencanaan Pengadopsian Sistem;\n4. Perencanaan Integrasi Sistem;\n5. Identifikasi Kebutuhan dan Analisis;\n6. Perancangan Pemodelan Sistem;\n7. Perancangan Antarmuka Sistem; dan\n8. Pembuatan Baris Kode Program (Coding); \n9. Uji Coba Fungsi. \n10. Pembuatan Dokumentasi Teknis Aplikasi.\n11. Migrasi dari Sistem Lama ke Sistem Baru.\n12. User Acceptance Test (UAT).\n13. Rilis Aplikasi berbasis Web - Pemilihan nama Subdomain. \n14. Rilis Aplikasi berbasis Mobile.\n15. Sosialisasi dan pelatihan.\n16. Verifikasi dan Validasi serta Penerbitan Konten.\n17. Evaluasi Sistem.\n18. Perawatan dan Perbaikan.\n19. Penghentian Sistem Berdasarkan Usulan/Permintaan. \20. Penghentian Sistem Berdasarkan Evaluasi.""}"
standar_teknis_aplikasi_berbasis_web_autentikasi,apa itu standar teknis aplikasi berbasis web autentikasi?|bagaimana prosedur standar teknis aplikasi berbasis web autentikasi?|apa syarat untuk standar teknis aplikasi berbasis web autentikasi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web autentikasi?|berapa lama proses standar teknis aplikasi berbasis web autentikasi?|apakah standar teknis aplikasi berbasis web autentikasi bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web autentikasi dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web autentikasi?|bagaimana alur lengkap standar teknis aplikasi berbasis web autentikasi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web autentikasi?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi autentikasi dilakukan dengan:\n  a. menggunakan manajemen kata sandi untuk proses autentikasi;\n  b. menerapkan verifikasi kata sandi pada sisi server;\n  c. mengatur jumlah karakter, kombinasi jenis karakter, dan masa berlaku dari kata sandi;\n  d. mengatur jumlah maksimum kesalahan dalam pemasukan kata sandi;\n  e. mengatur mekanisme pemulihan kata sandi;\n  f. menjaga kerahasiaan kata sandi yang disimpan melalui mekanisme kriptografi; dan\n  g. menggunakan jalur komunikasi yang diamankan untuk proses autentikasi.""}"
standar_teknis_aplikasi_berbasis_web_manajemen_sesi,apa itu standar teknis aplikasi berbasis web manajemen sesi?|bagaimana prosedur standar teknis aplikasi berbasis web manajemen sesi?|apa syarat untuk standar teknis aplikasi berbasis web manajemen sesi?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web manajemen sesi?|berapa lama proses standar teknis aplikasi berbasis web manajemen sesi?|apakah standar teknis aplikasi berbasis web manajemen sesi bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web manajemen sesi dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web manajemen sesi?|bagaimana alur lengkap standar teknis aplikasi berbasis web manajemen sesi dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web manajemen sesi?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi manajemen sesi dilakukan dengan:\n  a. menggunakan pengendali sesi untuk proses manajemen sesi;\n  b. menggunakan pengendali sesi yang disediakan oleh kerangka kerja aplikasi;\n  c. mengatur pembuatan dan keacakan token sesi yang dihasilkan oleh pengendali sesi;\n  d. mengatur kondisi dan jangka waktu habis sesi;\n  e. validasi dan pencantuman session id;\n  f. perlindungan terhadap lokasi dan pengiriman token untuk sesi terautentikasi; dan\n  g. pelindungan terhadap duplikasi dan mekanisme persetujuan pengguna.""}"
standar_teknis_aplikasi_berbasis_web_persyaratan_kontrol_akses,apa itu standar teknis aplikasi berbasis web persyaratan kontrol akses?|bagaimana prosedur standar teknis aplikasi berbasis web persyaratan kontrol akses?|apa syarat untuk standar teknis aplikasi berbasis web persyaratan kontrol akses?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web persyaratan kontrol akses?|berapa lama proses standar teknis aplikasi berbasis web persyaratan kontrol akses?|apakah standar teknis aplikasi berbasis web persyaratan kontrol akses bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web persyaratan kontrol akses dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web persyaratan kontrol akses?|bagaimana alur lengkap standar teknis aplikasi berbasis web persyaratan kontrol akses dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web persyaratan kontrol akses?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi persyaratan kontrol akses dilakukan dengan:\n  a. menetapkan otorisasi pengguna untuk membatasi kontrol akses;\n  b. mengatur peringatan terhadap bahaya serangan otomatis apabila terjadi akses yang bersamaan atau akses yang terus-menerus pada fungsi;\n  c. mengatur antarmuka pada sisi administrator; dan\n  d. mengatur verifikasi kebenaran token ketika mengakses data dan informasi yang dikecualikan.""}"
standar_teknis_aplikasi_berbasis_web_validasi_input,apa itu standar teknis aplikasi berbasis web validasi input?|bagaimana prosedur standar teknis aplikasi berbasis web validasi input?|apa syarat untuk standar teknis aplikasi berbasis web validasi input?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web validasi input?|berapa lama proses standar teknis aplikasi berbasis web validasi input?|apakah standar teknis aplikasi berbasis web validasi input bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web validasi input dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web validasi input?|bagaimana alur lengkap standar teknis aplikasi berbasis web validasi input dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web validasi input?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi validasi input dilakukan dengan:\n  a. menerapkan fungsi validasi input pada sisi server;\n  b. menerapkan mekanisme penolakan input jika terjadi kesalahan validasi;\n  c. memastikan runtime environment aplikasi tidak rentan terhadap serangan validasi input;\n  d. melakukan validasi positif pada seluruh input;\n  e. melakukan filter terhadap data yang tidak dipercaya;\n  f. menggunakan fitur kode dinamis;\n  g. melakukan pelindungan terhadap akses yang mengandung konten skrip; dan\n  h. melakukan pelindungan dari serangan injeksi basis data.""}"
standar_teknis_aplikasi_berbasis_web_kriptografi_pada_verifikasi_statis,apa itu standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?|bagaimana prosedur standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?|apa syarat untuk standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?|berapa lama proses standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?|apakah standar teknis aplikasi berbasis web kriptografi pada verifikasi statis bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web kriptografi pada verifikasi statis dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?|bagaimana alur lengkap standar teknis aplikasi berbasis web kriptografi pada verifikasi statis dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web kriptografi pada verifikasi statis?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi kriptografi pada verifikasi statis dilakukan dengan :\n  a. menggunakan algoritma kriptografi, modul kriptografi, protokol kriptografi, dan kunci kriptografi sesuai dengan ketentuan peraturan perundang-undangan;\n  b. melakukan autentikasi data yang dienkripsi;\n  c. menerapkan manajemen kunci kriptografi; dan\n  d. membuat angka acak yang menggunakan generator angka acak kriptografi.""}"
standar_teknis_aplikasi_berbasis_web_penanganan_error_dan_pencatatan_log,apa itu standar teknis aplikasi berbasis web penanganan error dan pencatatan log?|bagaimana prosedur standar teknis aplikasi berbasis web penanganan error dan pencatatan log?|apa syarat untuk standar teknis aplikasi berbasis web penanganan error dan pencatatan log?|dokumen apa yang dibutuhkan untuk standar teknis aplikasi berbasis web penanganan error dan pencatatan log?|berapa lama proses standar teknis aplikasi berbasis web penanganan error dan pencatatan log?|apakah standar teknis aplikasi berbasis web penanganan error dan pencatatan log bisa diajukan online?|dimana layanan standar teknis aplikasi berbasis web penanganan error dan pencatatan log dilakukan?|berapa biaya untuk standar teknis aplikasi berbasis web penanganan error dan pencatatan log?|bagaimana alur lengkap standar teknis aplikasi berbasis web penanganan error dan pencatatan log dari awal sampai selesai?|siapa yang bisa membantu jika ada kendala standar teknis aplikasi berbasis web penanganan error dan pencatatan log?,kb,false,"{""type"": ""text"", ""body"": ""Terpenuhinya fungsi penanganan error dan pencatatan log dilakukan dengan:\n  a. mengatur konten pesan yang ditampilkan ketika terjadi kesalahan;\n  b. menggunakan metode penanganan error untuk mencegah kesalahan terprediksi dan tidak terduga serta menangani seluruh pengecualian yang tidak ditangani;\n  c. tidak mencantumkan informasi yang dikecualikan dalam pencatatan log;\n  d. mengatur cakupan log yang dicatat untuk mendukung upaya penyelidikan ketika terjadi insiden;\n  e. mengatur pelindungan log aplikasi dari akses dan modifikasi yang tidak sah;\n  f. melakukan enkripsi pada data yang disimpan untuk mencegah injeksi log; dan\n  g. melakukan sinkronisasi sumber waktu sesuai dengan zona waktu dan waktu yang benar.""}"
