pattern,true_intent,predicted_intent,confidence,method,correct
halo,salam,salam,0.919708788394928,lstm_direct,True
hello,salam,salam,0.9368229508399963,lstm_direct,True
helo,salam,salam,0.9391156435012817,lstm_direct,True
hallo,salam,salam,0.9202309250831604,lstm_direct,True
allo,salam,salam,0.9199946522712708,lstm_direct,True
oit,salam,salam,0.9289406538009644,lstm_direct,True
yuhu,salam,salam,0.9273751378059387,lstm_direct,True
hai,salam,salam,0.7858489751815796,bert_with_pattern,True
hi,salam,salam,0.8182471394538879,bert_with_pattern,True
hei,salam,salam,0.8141734600067139,bert_with_pattern,True
oi,salam,salam,0.8229368925094604,bert_with_pattern,True
selamat pagi,salam,salam,0.8289174437522888,bert_with_pattern,True
selamat siang,salam,salam,0.8314915299415588,bert_with_pattern,True
selamat malam,salam,salam,0.8285385370254517,bert_with_pattern,True
assalamualaikum,salam,salam,0.9072631597518921,lstm_direct,True
oke makasih,terimakasih,terimakasih,0.8817023634910583,lstm_direct,True
terimakasih,terimakasih,terimakasih,0.8721266984939575,lstm_direct,True
terimakasih banyak,terimakasih,terimakasih,0.756170392036438,lstm_direct,True
mks,terimakasih,terimakasih,0.8511210083961487,lstm_direct,True
mksh,terimakasih,terimakasih,0.8534892797470093,lstm_direct,True
trims,terimakasih,terimakasih,0.8657247424125671,lstm_direct,True
thx,terimakasih,terimakasih,0.7422994375228882,bert_with_pattern,True
thanks,terimakasih,terimakasih,0.8758200407028198,lstm_direct,True
thanx,terimakasih,terimakasih,0.7442409992218018,bert_with_pattern,True
bappenda tegal buka jam berapa?,jam_buka_info,jam_buka_info,0.8825714588165283,bert_with_pattern,True
jadwal operasional kpp pratama,jam_buka_info,jam_buka_info,0.8193243145942688,bert_with_pattern,True
kapan pdam tegal mulai pelayanan?,jam_buka_info,jam_buka_info,0.8165447115898132,bert_with_pattern,True
jam kerja kantor bank jateng slawi,jam_buka_info,jam_buka_info,0.8467702269554138,bert_with_pattern,True
layanan polres sampai jam berapa ya?,jam_buka_info,jam_buka_info,0.8625769019126892,bert_with_pattern,True
samsat tegal tutup jam brp?,jam_buka_info,jam_buka_info,0.8628708720207214,bert_with_pattern,True
pos indonesia tegal buka sekarang ga?,jam_buka_info,jam_buka_info,0.8451564311981201,bert_with_pattern,True
jadwal dinas pupr hari ini,jam_buka_info,jam_buka_info,0.8110216856002808,bert_with_pattern,True
kapan klinik hukum mulai buka?,jam_buka_info,jam_buka_info,0.8534061908721924,bert_with_pattern,True
jam operasional kantor taspen,jam_buka_info,jam_buka_info,0.8644423484802246,bert_with_pattern,True
perintransnaker buka jam berapa senin?,jam_buka_info,jam_buka_info,0.8694894313812256,bert_with_pattern,True
jam kerja dinkop ukm tegal,jam_buka_info,jam_buka_info,0.8493068218231201,bert_with_pattern,True
pengadilan negeri slawi buka hari apa saja?,jam_buka_info,jam_buka_info,0.855363130569458,bert_with_pattern,True
jadwal dpmptsp slawi terbaru,jam_buka_info,jam_buka_info,0.6427595615386963,bert_with_pattern,True
layanan imigrasi tegal buka jam berapa?,jam_buka_info,jam_buka_info,0.8790868520736694,bert_with_pattern,True
disdukcapil buka jam berapa besok?,jam_buka_info,jam_buka_info,0.8686044216156006,bert_with_pattern,True
jadwal kantor kemenag slawi,jam_buka_info,jam_buka_info,0.8337008357048035,bert_with_pattern,True
dinsos tegal melayani sampai jam berapa?,jam_buka_info,jam_buka_info,0.8558048009872437,bert_with_pattern,True
jam operasional bank tegal daerah slawi,jam_buka_info,jam_buka_info,0.8575254678726196,bert_with_pattern,True
kapan bpjs tenaga kerja mulai buka?,jam_buka_info,jam_buka_info,0.8227589726448059,bert_with_pattern,True
jadwal kejari slawi untuk layanan tilang,jam_buka_info,jam_buka_info,0.7667661905288696,bert_with_pattern,True
mpp datya dahayu buka jam berapa?,jam_buka_info,jam_buka_info,0.8594428896903992,bert_with_pattern,True
jam pelayanan bappenda hari jumat,jam_buka_info,jam_buka_info,0.8753098249435425,bert_with_pattern,True
kantor pajak tegal tutupnya jam berapa?,jam_buka_info,jam_buka_info,0.869367241859436,bert_with_pattern,True
operasional pdam kalau sabtu buka ga?,jam_buka_info,jam_buka_info,0.8759275078773499,bert_with_pattern,True
jam buka bank jateng cabang tegal,jam_buka_info,jam_buka_info,0.8577703237533569,bert_with_pattern,True
layanan perpanjang sim di polres jam berapa?,jam_buka_info,jam_buka_info,0.8667078614234924,bert_with_pattern,True
samsat tegal buka jam berapa senin jumat?,jam_buka_info,jam_buka_info,0.8821706175804138,bert_with_pattern,True
jam kerja kurir pos tegal,jam_buka_info,jam_buka_info,0.8425121903419495,bert_with_pattern,True
kapan kantor pupr mulai terima tamu?,jam_buka_info,pupr_info,0.44817807376384733,fusion_weighted_avg,False
