intent,pattern,response_type,is_master,response
salam,halo|hello|helo|hallo|allo|oit|yuhu,static,false,"{""type"": ""text"", ""body"": ""Hai, ada yang bisa saya bantu?""}"
salam,hai|hi|hei|oi,static,false,"{""type"": ""text"", ""body"": ""Halo, ada yang bisa saya bantu?""}"
salam,selamat pagi,static,false,"{""type"": ""text"", ""body"": ""Selamat pagi, ada yang bisa saya bantu?""}"
salam,selamat siang,static,false,"{""type"": ""text"", ""body"": ""Selamat siang, ada yang bisa saya bantu?""}"
salam,selamat malam,static,false,"{""type"": ""text"", ""body"": ""Selamat malam, ada yang bisa saya bantu?""}"
salam,assalamualaikum,static,false,"{""type"": ""text"", ""body"": ""Waalaikumsalam, ada yang bisa saya bantu?""}"
terimakasih,oke makasih|terimakasih|terimakasih banyak|mks|mksh|trims|thx|thanks|thanx,static,false,"{""type"": ""text"", ""body"": ""Sama-sama.""}"
jam_buka_info,bappenda tegal buka jam berapa?|jadwal operasional kpp pratama|kapan pdam tegal mulai pelayanan?|jam kerja kantor bank jateng slawi|layanan polres sampai jam berapa ya?|samsat tegal tutup jam brp?|pos indonesia tegal buka sekarang ga?|jadwal dinas pupr hari ini|kapan klinik hukum mulai buka?|jam operasional kantor taspen|perintransnaker buka jam berapa senin?|jam kerja dinkop ukm tegal|pengadilan negeri slawi buka hari apa saja?|jadwal dpmptsp slawi terbaru|layanan imigrasi tegal buka jam berapa?|disdukcapil buka jam berapa besok?|jadwal kantor kemenag slawi|dinsos tegal melayani sampai jam berapa?|jam operasional bank tegal daerah slawi|kapan bpjs tenaga kerja mulai buka?|jadwal kejari slawi untuk layanan tilang|mpp datya dahayu buka jam berapa?|jam pelayanan bappenda hari jumat|kantor pajak tegal tutupnya jam berapa?|operasional pdam kalau sabtu buka ga?|jam buka bank jateng cabang tegal|layanan perpanjang sim di polres jam berapa?|samsat tegal buka jam berapa senin jumat?|jam kerja kurir pos tegal|kapan kantor pupr mulai terima tamu?|jadwal klinik hukum tegal hari ini|pelayanan taspen slawi buka jam brp?|info jam kerja perintransnaker|jam operasional dinas koperasi tegal|pn slawi tutup jam berapa?|kapan loket dpmptsp dibuka?|jadwal pelayanan paspor imigrasi tegal|capil tegal buka jam berapa hari ini?|jam operasional kantor agama slawi|dinas sosial buka jam berapa?|jadwal operasional bank tegal slawi|bpjs ketenagakerjaan buka jam berapa?|pelayanan tilang di kejaksaan jam berapa?|jam buka mpp slawi sekarang|kantor bappenda tegal tutup jam berapa?|jadwal kpp tegal hari rabu|jam kerja admin pdam|kapan bank jateng tutup?|jadwal pelayanan skck polres tegal|hari sabtu samsat buka atau tutup?,static,false,"{""type"": ""text"", ""body"": ""jam pelayanan buka pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🕒 Hari Sabtu, Minggu, dan tanggal merah kami tutup ya. 😊✨""}"
nib_info,"cara buat nib tegal|daftar nib online slawi|syarat nib umkm tegal|bikin nib di kabupaten tegal gimana|link oss nib tegal|prosedur nib gratis tegal|dokumen nib usaha kecil|tempat urus nib di tegal|cara dapat nomor induk berusaha tegal|nib oss rba kabupaten tegal|Tutorial daftar NIB online mandiri untuk warga Tegal.|Cara urus Nomor Induk Berusaha di Kabupaten Tegal.|Panduan pendaftaran izin usaha lewat sistem OSS.|Mau bikin NIB tapi bingung mulainya dari mana.|Berkas apa saja yang disiapkan untuk bikin NIB UMKM?|Syarat daftar OSS RBA buat pedagang kecil di Slawi.|Dokumen pendaftaran usaha mikro di Kabupaten Tegal.|Apa saja persyaratan buat NIB perorangan?|Fotokopi apa saja buat ngurus izin usaha di MPP?|Berapa lama proses pendaftaran NIB sampai jadi?|Apakah di MPP Satya Dahayu bisa bantu buatkan NIB?|Kantor untuk konsultasi masalah NIB di Tegal.|Jasa pembuatan NIB gratis dari pemerintah ada tidak?|Saya mau buka warung cara daftar izin usahanya gimana?|Pengusaha kecil mau punya NIB syaratnya apa saja?|NIB itu apa sih dan cara buatnya gimana buat orang awam?""",static,false,"{""type"": ""text"", ""body"": ""Untuk membuat Nomor Induk Berusaha (NIB) di Kabupaten Tegal, Anda dapat mendaftar secara mandiri melalui sistem **OSS RBA** di situs **oss.go.id**. 📱💻 **Syarat utama:** NIK KTP, Email aktif, dan Data usaha. NIB ini gratis dan berlaku sebagai identitas tunggal pelaku usaha (TDP, IUI, dll). Jika butuh pendampingan, Anda bisa mengunjungi loket DPMPTSP di MPP Datya Dahayu.  ✨""}"
itr_info,apa itu itr tegal|syarat izin tata ruang slawi|cara daftar itr sicantik|lokasi urus itr tegal|biaya izin informasi tata ruang|prosedur itr mpp tegal|dokumen permohonan itr|apa fungsi itr|cek tata ruang kabupaten tegal|syarat pbg itr,static,false,"{""type"": ""text"", ""body"": ""ITR (Informasi Tata Ruang) adalah dokumen informasi geografis untuk perencanaan penggunaan lahan. 🗺️🏗️ **Cara Urus:** * **Online:** via *www.sicantik.go.id* * **Offline:** Loket DPUPR di MPP Datya Dahayu (Senin-Jumat, 09.00-14.00 WIB). **Syarat Utama:** KTP, Bukti Legalitas Lahan (Sertifikat/PDF), Gambar Bidang, dan Surat Permohonan. Layanan ini penting sebagai syarat PBG (IMB) atau PTP. ✨""}"
