intent,pattern,response_type,is_master,response
jam_buka_info,"bappenda tegal buka jam berapa?|jadwal operasional kpp pratama|kapan pdam tegal mulai pelayanan?|jam kerja kantor bank jateng slawi|layanan polres sampai jam berapa ya?|samsat tegal tutup jam brp?|pos indonesia tegal buka sekarang ga?|jadwal dinas pupr hari ini|kapan klinik hukum mulai buka?|jam operasional kantor taspen|perintransnaker buka jam berapa senin?|jam kerja dinkop ukm tegal|pengadilan negeri slawi buka hari apa saja?|jadwal dpmptsp slawi terbaru|layanan imigrasi tegal buka jam berapa?|disdukcapil buka jam berapa besok?|jadwal kantor kemenag slawi|dinsos tegal melayani sampai jam berapa?|jam operasional bank tegal daerah slawi|kapan bpjs tenaga kerja mulai buka?|jadwal kejari slawi untuk layanan tilang|mpp datya dahayu buka jam berapa?|jam pelayanan bappenda hari jumat|kantor pajak tegal tutupnya jam berapa?|operasional pdam kalau sabtu buka ga?|jam buka bank jateng cabang tegal|layanan perpanjang sim di polres jam berapa?|samsat tegal buka jam berapa senin jumat?|jam kerja kurir pos tegal|kapan kantor pupr mulai terima tamu?|jadwal klinik hukum tegal hari ini|pelayanan taspen slawi buka jam brp?|info jam kerja perintransnaker|jam operasional dinas koperasi tegal|pn slawi tutup jam berapa?|kapan loket dpmptsp dibuka?|jadwal pelayanan paspor imigrasi tegal|capil tegal buka jam berapa hari ini?|jam operasional kantor agama slawi|dinas sosial buka jam berapa?|jadwal operasional bank tegal slawi|bpjs ketenagakerjaan buka jam berapa?|pelayanan tilang di kejaksaan jam berapa?|jam buka mpp slawi sekarang|kantor bappenda tegal tutup jam berapa?|jadwal kpp tegal hari rabu|jam kerja admin pdam|kapan bank jateng tutup?|jadwal pelayanan skck polres tegal|hari sabtu samsat buka atau tutup?",static,false,"jam pelayanan buka pada hari Senin - Jumat pukul 08.00 - 14.00 WIB. 🕒 Hari Sabtu, Minggu, dan tanggal merah kami tutup ya. 😊✨"
nib_info,""cara buat nib tegal|daftar nib online slawi|syarat nib umkm tegal|bikin nib di kabupaten tegal gimana|link oss nib tegal|prosedur nib gratis tegal|dokumen nib usaha kecil|tempat urus nib di tegal|cara dapat nomor induk berusaha tegal|nib oss rba kabupaten tegal|Tutorial daftar NIB online mandiri untuk warga Tegal.|Cara urus Nomor Induk Berusaha di Kabupaten Tegal.|Panduan pendaftaran izin usaha lewat sistem OSS.|Mau bikin NIB tapi bingung mulainya dari mana.|Berkas apa saja yang disiapkan untuk bikin NIB UMKM?|Syarat daftar OSS RBA buat pedagang kecil di Slawi.|Dokumen pendaftaran usaha mikro di Kabupaten Tegal.|Apa saja persyaratan buat NIB perorangan?|Fotokopi apa saja buat ngurus izin usaha di MPP?|Berapa lama proses pendaftaran NIB sampai jadi?|Apakah di MPP Satya Dahayu bisa bantu buatkan NIB?|Kantor untuk konsultasi masalah NIB di Tegal.|Jasa pembuatan NIB gratis dari pemerintah ada tidak?|Saya mau buka warung cara daftar izin usahanya gimana?|Pengusaha kecil mau punya NIB syaratnya apa saja?|NIB itu apa sih dan cara buatnya gimana buat orang awam?",static,false," Untuk membuat Nomor Induk Berusaha (NIB) di Kabupaten Tegal, Anda dapat mendaftar secara mandiri melalui sistem **OSS RBA** di situs **oss.go.id**. 📱💻 **Syarat utama:** NIK KTP, Email aktif, dan Data usaha. NIB ini gratis dan berlaku sebagai identitas tunggal pelaku usaha (TDP, IUI, dll). Jika butuh pendampingan, Anda bisa mengunjungi loket DPMPTSP di MPP Datya Dahayu.  ✨"
ak1_info,"cara buat kartu kuning tegal|daftar ak1 online slawi|syarat kartu pencari kerja tegal|bikin kartu kuning dimana|link pendaftaran ak1 tegal|cetak kartu kuning mandiri|prosedur kartu ak1 disperinaker|daftar bursa kerja jateng|dokumen kartu kerja tegal|cara dapat kartu kuning online",static,false," Pembuatan Kartu Kuning (AK1) di Kabupaten Tegal kini dilakukan secara online. 👷‍♂️💻 **Langkah-langkah:** |Registrasi di: *bursakerja.jatengprov.go.id/home/register_pencari_kerja* |Isi formulir di: *bit.ly/Cetak_AK1* |Tunggu konfirmasi admin via WhatsApp/Email. |File PDF akan dikirimkan untuk Anda cetak mandiri. ✨"
itr_info,"apa itu itr tegal|syarat izin tata ruang slawi|cara daftar itr sicantik|lokasi urus itr tegal|biaya izin informasi tata ruang|prosedur itr mpp tegal|dokumen permohonan itr|apa fungsi itr|cek tata ruang kabupaten tegal|syarat pbg itr",static,false," ITR (Informasi Tata Ruang) adalah dokumen informasi geografis untuk perencanaan penggunaan lahan. 🗺️🏗️ **Cara Urus:** * **Online:** via *www.sicantik.go.id* * **Offline:** Loket DPUPR di MPP Datya Dahayu (Senin-Jumat, 09.00-14.00 WIB). **Syarat Utama:** KTP, Bukti Legalitas Lahan (Sertifikat/PDF), Gambar Bidang, dan Surat Permohonan. Layanan ini penting sebagai syarat PBG (IMB) atau PTP. ✨"
sls_info,"apa itu sls tegal|syarat sertifikat laik sehat|cara urus sls rumah makan|sls dinas kesehatan tegal|pentingnya laik sehat usaha|sertifikat sanitasi lingkungan tegal|siapa yang butuh sls|pengertian sertifikat laik sehat|standar kesehatan tempat usaha|izin sanitasi makanan tegal",static,false," Sertifikat Laik Sehat (SLS) adalah bukti resmi bahwa tempat usaha Anda (seperti resto, hotel, atau depot air) telah memenuhi standar sanitasi dan kesehatan lingkungan. 🏥✨ Dokumen ini memastikan kebersihan bangunan, fasilitas air bersih, dan pengelolaan limbah Anda sudah aman. Pengurusan dapat dikonsultasikan melalui Dinas Kesehatan di MPP. ✨"
sls_info,"tempat yang butuh sls|syarat buat sls tegal|dokumen sertifikat laik sehat|cara urus sls rumah makan|biaya sls depot air minum|uji lab air sls|rekomendasi phri sls|sls hotel tegal|masa berlaku sls|daftar sls online",static,false," Sertifikat Laik Sehat (SLS) wajib dimiliki oleh usaha seperti: * 🍽️ Rumah Makan, Resto, Cafe * 🚰 Depot Air Minum (DAM) * 🏨 Hotel & Penginapan * 🎡 Tempat Hiburan & Apotek **Syarat Utama:** |Surat permohonan & Pakta Integritas (Bermaterai) |Denah bangunan & Lokasi usaha |Surat keterangan Puskesmas & Domisili Desa |Hasil uji lab kualitas air bersih |Pas foto 4x6 (Latar Merah) |*Khusus DAM:* Hasil sampel kimia & bakteri. |*Khusus Hotel/Resto:* Rekomendasi PHRI. ✨"
nib_info,"manfaat nib tegal|fungsi nomor induk berusaha|keuntungan punya nib|nib buat apa saja|legalitas usaha nib|akses perbankan nib|nib untuk tender|identitas resmi usaha tegal|apa pentingnya nib umkm|keuntungan nib bagi pengusaha",static,false," Memiliki NIB (Nomor Induk Berusaha) memberikan banyak keuntungan bagi usaha Anda di Kabupaten Tegal: * ✅ **Legalitas Terjamin:** Usaha Anda diakui resmi oleh negara. * ✅ **Akses Perizinan:** Memudahkan pengurusan izin lanjutan (Sertifikat Halal, BPOM, dll). * ✅ **Bantuan & Hibah:** Menjadi syarat utama mendapatkan bantuan pemerintah atau KUR bank. * ✅ **Peluang Tender:** Bisa ikut serta dalam pengadaan barang/jasa pemerintah. NIB berlaku sebagai identitas tunggal pengganti TDP, API, dan akses kepabeanan. ✨"
lkpm_info,"apa itu lkpm|cara lapor lkpm oss|jadwal pelaporan lkpm|tutorial isi lkpm online|lkpm triwulan berapa|siapa wajib lapor lkpm|kendala input lkpm|manfaat lapor lkpm|sanksi tidak lapor lkpm|panduan lkpm umkm tegal",static,false," **LKPM** (Laporan Kegiatan Penanaman Modal) adalah laporan wajib bagi pelaku usaha mengenai perkembangan investasi dan kendala yang dihadapi. **Cara Lapor via OSS:** |Login ke *oss.go.id* |Pilih menu **Pelaporan** -> **Pelaporan LKPM**. |Klik **Buat Laporan** untuk setiap lokasi usaha. |Isi data sesuai tahap usaha (Konstruksi atau Produksi/Komersial).  Pelaporan dilakukan berkala (Triwulan/Semester) tergantung skala usaha Anda. ✨"
akta_lahir_info,"syarat akta kelahiran tegal|cara buat akta lahir online|akta kelahiran anak baru lahir|biaya buat akta lahir|lama proses akta kelahiran|sipandu tegal akta lahir|cetak akta kelahiran mandiri|formulir f2.01 akta lahir|syarat akta lahir hilang|akta kelahiran gratis tegal",static,false," Mengurus Akta Kelahiran di Kabupaten Tegal kini **GRATIS** dan bisa online via **Sipandu**. **Persyaratan:** * Surat Ket. Lahir (Desa/RS) * Buku Nikah Orang Tua * KK & KTP Orang Tua * Formulir F-2.01 (Unduh di *sipandu.tegalkab.go.id*) **Prosedur:** Daftar via Sipandu -> Upload Berkas -> Verifikasi -> Selesai. ⏱️ **Waktu:** 1 Hari Kerja (jika sistem lancar). Akta & KK baru bisa dicetak mandiri! ✨"
mati_info,"cara buat akta kematian tegal|syarat akte kematian|biaya akta kematian|sipandu tegal akta kematian|dokumen urus orang meninggal|akta kematian berapa hari jadi|fungsi akta kematian|formulir akta kematian tegal|ktp jenazah akta kematian|akta kematian online tegal",static,false," Akta Kematian penting untuk urusan waris, asuransi, dan update data KK. Layanan ini **GRATIS**. **Persyaratan:** * Surat Ket. Kematian (Desa/RS) * KK & KTP Asli Jenazah * Formulir F-2.01 via Sipandu * Putusan Pengadilan (jika jenazah tidak ditemukan) **Prosedur:** Ajukan via *sipandu.tegalkab.go.id*. Setelah disetujui dalam 1 hari kerja, Anda dapat mencetak Akta Kematian dan KK terbaru secara mandiri. ✨"
